id,name,description,muscle_group,difficulty,demonstration_video,demonstration_video_2,calories,equipment
1,Отжимания ноги на возвышенности,В этом упражнении больше работает трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/09/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BD%D0%BE%D0%B3%D0%B8-%D0%BD%D0%B0-%D0%B2%D0%BE%D0%B7%D0%B2%D1%8B%D1%88%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8.gif,,0.4,Со своим весом
2,Шраги,В этом упражнении работает верх спины.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%88%D1%80%D0%B0%D0%B3%D0%B8-2.gif,,0.4,С резиновыми петлями
3,Сгибания на бицепс,В этом упражнении работает бицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B4%D0%B2%D1%83%D0%BC%D1%8F-%D1%80%D1%83%D0%BA%D0%B0%D0%BC%D0%B8.gif,,0.4,С резиновыми петлями
4,Классические отжимания,"В этом упражнении работает грудь и трицепс. Так же, если не хватает сил для полноценных отжиманий, то можно отжиматься с колен.",Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA.gif,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6-%D1%81-%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD-1.gif,0.4,Со своим весом
5,Отжимания от стульев,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,2,https://makefitness.pro/wp-content/uploads/2019/10/%D0%9E%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BE%D1%82-%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2-2-%D1%81%D1%82%D1%83%D0%BB%D0%B0-%D0%9A%D0%BE%D0%BB%D1%8F.gif,https://makefitness.pro/wp-content/uploads/2019/10/%D0%9E%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BE%D1%82-%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2-%D0%BE%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5-3-%D1%81%D1%82%D1%83%D0%BB%D0%B0-%D0%9A%D0%BE%D0%BB%D1%8F.gif,0.4,Со своим весом
6,Отжимания узким хватом,В этом упражнении больше работает трицепс.,Грудные мыщцы,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6-%D1%83%D0%B7%D0%BA%D0%B8%D0%B5.gif,,0.4,Со своим весом
7,Отжимания лучника,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BB%D1%83%D1%87%D0%BD%D0%B8%D0%BA%D0%B0.gif,,0.4,Со своим весом
8,Отжимания с подносом колена,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6-%D1%81-%D0%BF%D0%BE%D0%B4%D0%BD%D0%BE%D1%81%D0%BE%D0%BC-%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B0-%D0%B2-%D0%BD%D0%B8%D0%B6%D0%BD%D0%B5%D0%B9-%D1%82%D0%BE%D1%87%D0%BA%D0%B5.gif,,0.4,Со своим весом
9,Кик отжимания,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BA%D0%B8%D0%BA-%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F.gif,,0.4,Со своим весом
10,Жим гантель лежа (общая грудь),В этом упражнении работает грудь и трицепс.,Грудные мыщцы,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BB%D1%91%D0%B6%D0%B0-1.gif,,0.4,С гантелями
